Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",168.341040,-76.164440,90.000000,top
"C2","10uF","C_0805_2012Metric",160.419020,-79.877920,0.000000,top
"C3","100nF","C_0402_1005Metric",158.041340,-78.562340,270.000000,top
"C4","100nF","C_0402_1005Metric",159.778560,-78.120240,0.000000,top
"C5","100nF","C_0402_1005Metric",162.504120,-77.536040,90.000000,top
"C6","10nF","C_0402_1005Metric",156.621340,-77.523340,270.000000,top
"C7","100pF","C_0402_1005Metric",173.878240,-72.575560,90.000000,top
"C8","10pF","C_0402_1005Metric",179.070000,-70.612000,90.000000,top
"C9","10pF","C_0402_1005Metric",177.165000,-70.612000,90.000000,top
"C10","4.7uF","C_0805_2012Metric",181.912500,-66.929000,0.000000,top
"C11","100nF","C_0402_1005Metric",182.880000,-68.707000,0.000000,top
"C12","100nF","C_0402_1005Metric",187.916680,-80.507840,180.000000,top
"C13","10nF","C_0402_1005Metric",179.578000,-76.050000,90.000000,top
"C14","100nF","C_0402_1005Metric",191.592200,-71.602600,270.000000,top
"C15","1uF","C_0805_2012Metric",177.546000,-77.010500,90.000000,top
"C16","4.7uF","C_0805_2012Metric",193.357500,-70.827900,270.000000,top
"C17","4.5nF","C_0402_1005Metric",200.050400,-71.033640,90.000000,top
"C18","1uF","C_0805_2012Metric",200.004680,-77.721460,90.000000,top
"C20","1uF","C_0805_2012Metric",193.075560,-77.662800,90.000000,top
"FB1","Ferrite_Bead","L_0603_1608Metric",174.625000,-77.978000,180.000000,top
"J1","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical_SMD",165.542200,-66.611500,0.000000,top
"J6","USB_B_Micro","USB_Micro-B_Molex-105017-0001",204.273900,-73.721640,90.000000,top
"R1","10k","R_0402_1005Metric",165.420040,-79.974440,0.000000,top
"R2","330R","R_0402_1005Metric",173.878240,-74.653000,90.000000,top
"R3","10k","R_0402_1005Metric",185.740040,-66.957080,90.000000,top
"R4","2.2K","R_0402_1005Metric",174.711500,-76.492100,0.000000,top
"R5","390R","R_0402_1005Metric",178.689000,-74.168000,180.000000,top
"R6","0R","R_0402_1005Metric",195.948300,-71.536700,270.000000,top
"R7","0R","R_0402_1005Metric",191.020700,-67.079000,270.000000,top
"R8","0R","R_0402_1005Metric",175.173640,-74.653000,270.000000,top
"R9","1M","R_0402_1005Metric",198.399400,-71.056640,90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KMR2",175.349120,-64.038580,0.000000,top
"U1","AD9837","LFCSP-WD-10-1EP_3x3mm_P0.5mm_EP1.64x2.38mm",159.146240,-75.237340,90.000000,top
"U2","STM32F072C8Tx","LQFP-48_7x7mm_P0.5mm",185.518500,-74.676000,0.000000,top
"U3","MIC5504-3.3YM5","SOT-23-5",196.644440,-77.703640,180.000000,top
"X1","SG-5032CAN","Oscillator_SMD_SeikoEpson_SG8002LB-4pin_5.0x3.2mm",165.463040,-76.164440,90.000000,top
"Y1","Crystal","Crystal_SMD_TXC_9HT11-2pin_2.0x1.2mm_HandSoldering",178.145000,-72.644000,180.000000,top
